Time (s)	Real (E)	Complex (E)
-1.313805804632105e-11	-1.5660301347893307e-13	6.904790754974868e-13
-1.3121061852205063e-11	-4.2484265364028995e-13	6.177694465213047e-13
-1.3104065658089075e-11	-1.8001842034043443e-15	3.771792544182768e-14
-1.3087069463973087e-11	-3.354826604916148e-13	4.510269995304733e-14
-1.3070073269857099e-11	-4.654582158037343e-13	8.116366207784998e-14
-1.3053077075741111e-11	-6.491645952804196e-14	-5.009943674061432e-14
-1.3036080881625123e-11	4.307593044814898e-13	1.8237438505066264e-13
-1.3019084687509136e-11	-3.408454536883445e-14	-3.244688936139343e-13
-1.3002088493393148e-11	-3.884732408478306e-14	-4.455788866778719e-13
-1.298509229927716e-11	-2.1860702341565558e-13	7.355080733763623e-13
-1.2968096105161172e-11	-5.081158419638047e-13	5.491183316663572e-13
-1.2951099911045184e-11	1.0188810389378606e-13	4.730461570334966e-14
-1.2934103716929196e-11	-3.8037369266944386e-13	2.5952865125909017e-14
-1.2917107522813208e-11	-4.650688840986073e-13	1.008157118449135e-13
-1.290011132869722e-11	-4.979021879396593e-14	-5.710061519643508e-14
-1.2883115134581232e-11	4.3539158153283845e-13	1.9913136205267776e-13
-1.2866118940465244e-11	2.927691780332514e-15	-3.4808857282482e-13
-1.2849122746349257e-11	-3.857914993357906e-15	-3.0682610971127527e-13
-1.2832126552233269e-11	-3.313041032954406e-13	7.197459532574105e-13
-1.2815130358117281e-11	-5.601728842568938e-13	4.424679299390345e-13
-1.2798134164001293e-11	2.2849011923579184e-13	5.876898462084817e-14
-1.2781137969885305e-11	-4.715994979334967e-13	2.1020652246211056e-14
-1.2764141775769317e-11	-4.413286506258067e-13	1.3361885572296863e-13
-1.274714558165333e-11	-4.358962815710266e-14	-4.3290107704954306e-14
-1.2730149387537341e-11	4.1464169910522076e-13	1.8136221257547083e-13
-1.2713153193421353e-11	5.272565045270163e-14	-3.193616732298423e-13
-1.2696156999305366e-11	3.7826738892642615e-15	-1.7109390963865073e-13
-1.2679160805189378e-11	-4.734693361352023e-13	6.432118223832994e-13
-1.266216461107339e-11	-5.579321489974044e-13	3.1754365263080903e-13
-1.2645168416957402e-11	3.38002155562514e-13	6.921305862455098e-14
-1.2628172222841414e-11	-5.932923155264125e-13	3.8521981253344055e-14
-1.2611176028725426e-11	-3.9475096151167963e-13	1.7269284168078725e-13
-1.2594179834609438e-11	-4.5453498430226537e-14	-1.9958703762792048e-14
-1.257718364049345e-11	3.7181323694115787e-13	1.397819662180346e-13
-1.2560187446377462e-11	1.0374078554486301e-13	-2.4662576991403953e-13
-1.2543191252261475e-11	-2.142074953857129e-14	-5.707498179203516e-14
-1.2526195058145487e-11	-6.170198094822238e-13	5.156743179377871e-13
-1.2509198864029499e-11	-4.963098234649967e-13	1.953090493793353e-13
-1.2492202669913511e-11	3.9885962702162565e-13	7.563320839769912e-14
-1.2475206475797523e-11	-7.145619778007842e-13	8.03754270169262e-14
-1.2458210281681535e-11	-3.3439480069818774e-13	2.1137277347557603e-13
-1.2441214087565547e-11	-5.677287919159087e-14	3.9351055173328475e-18
