Time (s)	Real (E)	Complex (E)
3.363546816087763e-11	6.815223555960006e-13	1.7128712943298074e-13
3.3652464354993616e-11	1.232629082383768e-13	-1.3822438951737686e-13
3.3669460549109604e-11	-5.315700873712036e-13	-5.509170957597976e-13
3.368645674322559e-11	-7.910001299491422e-13	-3.904783371394418e-13
3.370345293734158e-11	-4.5379712740714496e-13	1.6707750550327434e-13
3.372044913145757e-11	1.7413010356826407e-13	2.9506352439232075e-13
3.3737445325573555e-11	6.987770486667792e-13	-1.4764560755685244e-14
3.375444151968954e-11	8.949465382159018e-13	-1.4730984465956908e-13
3.377143771380553e-11	6.756597827775721e-13	-1.0714041267376764e-14
3.378843390792152e-11	2.6046143659589437e-13	6.537240949157824e-14
3.3805430102037507e-11	1.0255856256404947e-13	9.931741950953922e-14
3.3822426296153495e-11	3.8366181664654987e-13	2.548801310378587e-13
3.383942249026948e-11	7.454855506776104e-13	3.966114136160185e-13
3.385641868438547e-11	7.163298340383106e-13	3.6754888200296846e-13
3.387341487850146e-11	2.0960529259700892e-13	3.927281045451729e-14
3.3890411072617446e-11	-4.153461466121495e-13	-3.867466243411391e-13
3.3907407266733434e-11	-6.673960292253116e-13	-2.6984128073710447e-13
3.392440346084942e-11	-3.6167712547930915e-13	2.767597371931407e-13
3.394139965496541e-11	2.2358302888139692e-13	4.585106891092501e-13
3.39583958490814e-11	7.405181659812004e-13	1.8134946048748938e-13
3.3975392043197386e-11	9.182321837792468e-13	1.0733896158569932e-14
3.3992388237313374e-11	5.847882342516391e-13	9.307734049427198e-14
3.400938443142936e-11	5.3798139678730397e-14	1.4640303666225774e-13
3.402638062554535e-11	-1.1501207265457233e-13	1.6272674230318254e-13
3.404337681966134e-11	1.9125525944545114e-13	3.218090735690836e-13
3.4060373013777325e-11	6.122692768861079e-13	4.946894008647067e-13
3.407736920789331e-11	7.30099604897342e-13	4.4724794661146746e-13
3.40943654020093e-11	3.81767693667109e-13	9.94861945086156e-14
